Cliente;Thiago;12345678900;(22)992687845
Cliente;Andrea;98765432155;(21)988563254
Cliente;Ariane;45698712311;(21)981236587
Cliente;Ricardo;78965412322;(24)999365478
Cliente;Vanessa;45698712305;(22)9812369856
Cliente;Douglas;96325874155;(22)992365895
Conta;0123;522961;50000;CC
Conta;0122;522345;35000;CC
Conta;0111;423245;2500;CC
Conta;0025;352252;1000;CC
Conta;0123;258978;500;CC
Conta;0145;258342;1500;CC
Conta;1129;342745;5234;CP
Conta;1123;343812;500;CP
Conta;1539;543845;1000;CP
Conta;1176;645990;2000;CP
Conta;1123;876983;100000;CP
Conta;1941;267895;10;CP
Gerente;Debora;12374398201;aBD2341;7000
Gerente;Nathan;12312426543;BhIRE23;7000
Gerente;Carlos;12095849321;jgUO342;7000
Gerente;Bárbara;34812052113;jweT2622;7000
Diretor;Teresa;123598534522;GRTo9321;12000
Diretor;Sabrina;87543845723;tYie6456;12000
Presidente;Carla;45390954832;TPow85732;22000
